Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,35.650002,35.689999,34.709999,35.200001,34.616203,13628100
2020-07-23,35.259998,35.259998,34.209999,34.349998,33.780300,14245100
2020-07-24,34.000000,34.619999,33.650002,33.950001,33.386932,17200000
2020-07-27,33.700001,35.070000,33.540001,34.910000,34.331009,23781800
2020-07-28,34.700001,35.779999,34.549999,35.029999,34.449017,17055500
2020-07-29,35.380001,35.950001,35.150002,35.950001,35.353760,13101300
2020-07-30,35.119999,35.540001,34.520000,34.799999,34.222832,23154800
2020-07-31,34.900002,34.970001,33.570000,33.580002,33.023071,20701300
2020-08-03,34.240002,35.040001,33.779999,34.349998,33.780300,24030700
2020-08-04,33.880001,34.599998,33.009998,33.299999,32.747711,20774400
2020-08-05,33.810001,33.970001,32.900002,33.330002,32.777218,14184600
2020-08-06,33.759998,34.430000,33.139999,34.349998,33.780300,18267300
2020-08-07,34.000000,34.939999,33.599998,34.110001,33.544277,18561800
2020-08-10,34.119999,34.599998,33.750000,34.430000,33.858971,9726000
2020-08-11,34.599998,34.889999,33.900002,33.930000,33.367264,14045800
2020-08-12,34.000000,34.419998,33.200001,33.750000,33.190247,18029600
2020-08-13,33.889999,34.400002,33.049999,33.070000,32.521526,15011800
2020-08-14,33.099998,33.500000,32.790001,33.180000,32.629704,10808700
2020-08-17,33.169998,33.349998,31.889999,32.330002,31.793802,21951800
2020-08-18,32.900002,32.970001,32.400002,32.770000,32.226501,14524500
2020-08-19,32.849998,32.970001,32.520000,32.619999,32.078991,10398700
2020-08-20,32.099998,32.730000,31.900000,32.650002,32.108494,22908300
2020-08-21,32.500000,33.080002,32.330002,32.950001,32.403515,11677400
2020-08-24,32.889999,34.000000,32.799999,33.450001,33.342480,19409300
2020-08-25,33.779999,33.950001,33.049999,33.250000,33.143120,11829700
2020-08-26,33.139999,33.439999,32.060001,32.450001,32.345692,16625400
2020-08-27,32.509998,33.439999,32.360001,32.750000,32.644730,15937400
2020-08-28,33.020000,33.509998,32.980000,33.389999,33.282669,11382300
2020-08-31,33.389999,33.389999,32.650002,32.650002,32.545052,13968600
2020-09-01,33.150002,33.590000,32.919998,33.209999,33.103249,12354600
2020-09-02,33.250000,33.369999,32.740002,33.250000,33.143120,9844600
2020-09-03,33.189999,34.790001,33.110001,33.770000,33.661449,29833900
2020-09-04,34.099998,34.369999,33.330002,33.950001,33.840870,20865000
2020-09-08,33.540001,33.689999,33.070000,33.259998,33.153088,13460400
2020-09-09,33.580002,33.720001,32.959999,33.220001,33.113216,12591200
2020-09-10,33.139999,33.490002,32.439999,32.529999,32.425434,13387400
2020-09-11,32.580002,32.689999,31.719999,32.000000,31.897139,14710600
2020-09-14,32.220001,32.590000,31.700001,32.360001,32.360001,11011900
2020-09-15,32.599998,32.599998,31.870001,31.990000,31.990000,11585100
2020-09-16,32.090000,32.619999,32.009998,32.090000,32.090000,13814800
2020-09-17,31.809999,32.290001,31.700001,32.150002,32.150002,10209500
2020-09-18,31.950001,32.020000,31.150000,31.340000,31.340000,15967500
2020-09-21,30.709999,31.129999,30.410000,30.879999,30.879999,13418000
2020-09-22,30.850000,31.680000,30.680000,30.820000,30.820000,10734300
2020-09-23,30.850000,30.940001,30.070000,30.180000,30.180000,12768300
2020-09-24,30.180000,30.900000,29.910000,30.420000,30.420000,15943300
2020-09-25,30.240000,30.480000,29.969999,30.299999,30.299999,9350100
2020-09-28,30.700001,31.770000,30.120001,30.510000,30.510000,30583200
2020-09-29,30.459999,30.680000,29.750000,29.760000,29.760000,18462900
2020-09-30,29.990000,30.110001,29.469999,29.620001,29.620001,14197000
2020-10-01,29.820000,29.900000,29.160000,29.790001,29.790001,12008700
2020-10-02,29.410000,30.740000,29.309999,29.709999,29.709999,16976600
2020-10-05,29.900000,30.379999,29.340000,30.230000,30.230000,12546800
2020-10-06,30.510000,30.799999,29.879999,30.030001,30.030001,10742500
2020-10-07,30.200001,30.440001,29.730000,29.809999,29.809999,12409900
